A,B,Class
0.6515811185943475,-0.4936699850783046,0.0
3.129150829720907,-3.1384290865643742,0.0
3.162679604587349,1.6068093023419563,0.0
4.075106822252897,1.3828193978954915,0.0
0.16295413819658064,0.33232893014766995,0.0
-0.55140488332406,3.5586746980577235,0.0
3.8058051139202993,-1.5336446702421036,0.0
-0.050101157477339064,0.21107576246900628,0.0
-1.0428372152316177,-1.6685951624795694,0.0
-2.6455680416041445,0.5885170098014133,0.0
-1.159625656420852,-1.9926271249672851,0.0
1.0096664485461488,-4.2036092361185755,0.0
-2.0938080463368065,-0.8929256997603126,0.0
3.4010257582708308,-1.8777764882887384,0.0
-1.34900821645536,2.7359917379138543,0.0
-1.5364062602302642,-0.0486165835355758,0.0
1.1799797031205346,3.7253314879894237,0.0
0.7752853928715705,-0.03979217853389461,0.0
-0.2810267564274437,-1.4657638387765268,0.0
-2.6004505066601387,0.4949266398455903,0.0
0.3157128847929557,3.3150369143676675,0.0
0.6980873933705616,2.8120942298249396,0.0
0.7458657116252913,-0.39479923314640664,0.0
-1.6176983583641427,-1.327195256055627,0.0
-4.182318968942512,-1.7881895485246013,0.0
-1.5320194161060927,1.9778033013587233,0.0
0.3717243093770706,0.10540490905481091,0.0
3.499237196862596,-1.7492920388382336,0.0
-1.928573139913104,3.5082947711945023,0.0
2.186380349730347,2.727198821927926,0.0
0.3532931372350917,0.2535098973408284,0.0
-0.62009201834928,-1.5666034169371925,0.0
-2.515653599993449,-0.3340502821081956,0.0
-1.2197039215364338,2.6752387122591137,0.0
1.2116092619823682,2.97022657648164,0.0
3.175857155920177,1.9952093710076018,0.0
0.3922560064440124,0.26914487718364577,0.0
-1.019116902771606,3.3005324552718958,0.0
-1.9025791809291226,1.0393719446013039,0.0
0.22401137607779698,0.45327717813710505,0.0
-2.405464886650116,1.1999462977861035,0.0
0.9111550219214484,-0.709981498423309,0.0
-2.221763943839437,0.15321638417667482,0.0
3.597026623640017,-0.9153121492256585,0.0
3.0116739808942454,-2.4843605077292485,0.0
0.651410327759652,-1.3699882305591824,0.0
